 ,Volume (micron^3),Surface (micron^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (micron),SD dist. to surf. (micron),Median dist. to surf. (micron),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
1,1.003,9.582,101,87,39414,390.238,50.804,380,317,521,130.416,146.446,8.069,0.604,0.183,0.633,130.416,146.435,8.067,126,144,6,10,5,5
2,0.437,4.727,44,37,15918,361.773,29.897,356,321,437,112.727,93.091,8.636,0.417,0.109,0.444,112.711,93.092,8.627,110,91,7,6,5,4
3,0.149,2.252,15,15,5228,348.533,21.125,350,317,398,120.600,91.800,8.533,0.290,0.117,0.242,120.611,91.810,8.521,120,91,7,3,3,4
4,0.258,3.410,26,23,10074,387.462,42.770,380,327,493,96.846,131.038,14.769,0.392,0.158,0.400,96.865,131.061,14.762,96,130,13,3,3,5
