 ,Volume (micron^3),Surface (micron^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (micron),SD dist. to surf. (micron),Median dist. to surf. (micron),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
1,1.290,10.260,130,88,51361,395.085,63.887,379.500,318,582,170.100,116.746,10.631,0.648,0.178,0.608,170.097,116.737,10.635,167,115,7,8,5,8
2,0.655,6.145,66,47,26934,408.091,70.583,390.000,318,615,106.682,120.803,12.864,0.514,0.155,0.477,106.675,120.776,12.852,105,119,10,5,5,6
3,0.258,4.224,26,26,8885,341.731,18.553,339.500,318,398,110.462,128.654,13.923,0.358,0.113,0.347,110.464,128.649,13.921,109,127,13,6,5,3
