 ,Volume (micron^3),Surface (micron^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (micron),SD dist. to surf. (micron),Median dist. to surf. (micron),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
1,0.328,4.068,33,28,12627,382.636,64.844,368,317,497,74.939,125.727,7.152,0.390,0.137,0.374,74.936,125.760,7.160,73,124,5,4,4,5
2,0.208,2.997,21,19,7558,359.905,37.671,353,317,452,112.190,133.190,8.810,0.333,0.110,0.327,112.174,133.195,8.846,111,132,7,3,4,4
3,0.397,4.813,40,33,14477,361.925,37.718,349,317,461,142.625,123.775,12.450,0.419,0.133,0.380,142.622,123.773,12.433,141,122,10,5,5,6
