 ,Volume (micron^3),Surface (micron^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (micron),SD dist. to surf. (micron),Median dist. to surf. (micron),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
1,0.347,4.462,35,32,12751,364.314,39.555,349,322,468,127.429,130.686,9.486,0.410,0.134,0.459,127.435,130.666,9.462,126,129,7,5,4,5
2,0.486,5.229,49,45,17520,357.551,30.881,351,318,426,135.102,136.102,9.755,0.424,0.121,0.424,135.104,136.110,9.763,133,133,8,5,6,4
3,2.313,20.266,233,185,91460,392.532,59.437,378,317,600,125.309,90.725,12.893,0.815,0.287,0.801,125.511,90.761,12.899,118,88,10,15,7,6
4,0.784,7.111,79,65,31610,400.127,67.165,382,317,603,135.506,141.962,15.557,0.522,0.145,0.512,135.427,142.041,15.579,133,139,13,6,6,5
5,0.199,2.712,20,19,7220,361.000,43.067,348,318,464,141.000,143.650,15.750,0.346,0.127,0.313,141.008,143.641,15.760,140,143,14,3,3,4
