 ,Volume (micron^3),Surface (micron^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (micron),SD dist. to surf. (micron),Median dist. to surf. (micron),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
1,1.032,10.571,104,85,37744,362.923,35.466,354.000,318,488,141.740,102.029,9.269,0.571,0.169,0.588,141.731,102.047,9.262,137,100,7,9,6,5
2,0.556,5.950,56,44,24407,435.839,98.698,417.500,317,714,123.750,155.929,11.321,0.482,0.155,0.460,123.755,155.900,11.289,121,154,9,6,5,6
3,2.144,13.724,216,135,84141,389.542,47.683,379.500,317,535,133.602,142.602,14.597,0.733,0.148,0.734,133.608,142.596,14.592,130,139,12,8,9,6
