 ,Volume (micron^3),Surface (micron^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (micron),SD dist. to surf. (micron),Median dist. to surf. (micron),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
1,2.184,13.760,220,126,107013,486.423,136.561,450,317,839,80.505,107.250,13.814,0.773,0.167,0.738,80.547,107.229,13.832,77,104,10,8,7,8
2,0.744,7.154,75,58,29246,389.947,59.984,371,317,558,161.067,130.053,12.080,0.518,0.134,0.503,161.010,130.079,12.089,159,127,10,7,7,5
3,0.119,1.750,12,12,4400,366.667,24.373,361,337,409,137.667,105.500,13.917,0.255,0.094,0.296,137.661,105.512,13.907,137,105,13,3,2,3
4,0.189,3.589,19,19,6486,341.368,18.756,335,321,378,138.000,113.421,14.316,0.382,0.137,0.390,137.996,113.424,14.314,135,112,13,7,3,4
