 ,Volume (micron^3),Surface (micron^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (micron),SD dist. to surf. (micron),Median dist. to surf. (micron),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
1,0.506,5.163,51,46,19183,376.137,41.772,371,319,474,92.098,101.784,8.647,0.444,0.130,0.452,92.102,101.784,8.633,90,101,7,6,3,5
2,1.112,8.725,112,74,51191,457.062,109.818,439,320,758,156.473,133.902,10.473,0.625,0.185,0.581,156.473,133.883,10.510,154,132,7,6,5,8
3,0.625,5.861,63,47,25894,411.016,80.417,388,318,631,159.270,127.730,10.794,0.511,0.157,0.482,159.249,127.734,10.814,157,126,8,5,5,6
4,1.995,12.582,201,125,85320,424.478,77.620,422,318,626,95.114,123.672,13.542,0.726,0.143,0.740,95.147,123.661,13.562,92,120,10,7,9,8
