 ,Volume (micron^3),Surface (micron^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (micron),SD dist. to surf. (micron),Median dist. to surf. (micron),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
1,0.308,4.025,31,28,11306,364.710,39.374,359.000,317,457,212.161,59.032,10.645,0.394,0.132,0.403,212.175,59.011,10.645,210,58,9,5,3,5
2,0.258,4.310,26,26,8912,342.769,27.972,333.500,317,438,217.077,67.538,10.462,0.427,0.159,0.418,217.064,67.567,10.468,216,64,9,3,7,4
3,0.308,3.675,31,27,11539,372.226,45.263,376.000,318,460,152.065,81.613,14.387,0.386,0.114,0.367,152.056,81.608,14.407,151,80,13,3,4,4
4,0.546,6.410,55,49,20224,367.709,41.496,362.000,317,497,160.327,91.600,14.727,0.485,0.154,0.484,160.356,91.604,14.757,158,88,13,5,8,4
