 ,Volume (micron^3),Surface (micron^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (micron),SD dist. to surf. (micron),Median dist. to surf. (micron),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
1,0.814,8.884,82,66,30291,369.402,42.678,363.000,318,483,132.268,76.732,8.866,0.559,0.177,0.550,132.199,76.711,8.881,130,72,7,6,9,5
2,0.596,5.643,60,46,23339,388.983,56.579,375.500,317,526,143.450,140.450,10.867,0.492,0.149,0.451,143.440,140.465,10.869,141,139,8,6,4,6
3,0.665,9.473,67,63,23174,345.881,24.294,342.000,317,426,151.209,138.209,11.910,0.607,0.227,0.602,151.231,138.200,11.927,148,134,9,7,9,6
