Volume (micron^3),Surface (micron^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (micron),SD dist. to surf. (micron),Median dist. to surf. (micron),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
14.433,70.257,1454,675,314849,216.540,90.901,182,140,702,100.596,85.160,5.964,1.587,0.409,1.627,100.575,84.873,5.941,91,79,1,23,16,14
13.887,63.648,1399,606,323442,231.195,109.939,190,140,757,136.717,139.758,6.069,1.566,0.379,1.607,136.481,140.083,5.984,128,129,1,18,19,14
