Volume (micron^3),Surface (micron^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (micron),SD dist. to surf. (micron),Median dist. to surf. (micron),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
11.018,57.520,1110,546,247233,222.732,94.823,185,140,624,155.570,101.934,4.513,1.353,0.279,1.338,155.642,101.907,4.329,144,94,1,21,18,12
12.249,62.740,1234,627,272008,220.428,98.512,179,140,617,91.085,131.577,3.886,1.400,0.302,1.373,91.042,131.814,3.550,81,121,1,21,20,10
