Volume (micron^3),Surface (micron^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (micron),SD dist. to surf. (micron),Median dist. to surf. (micron),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
17.768,85.980,1790,887,391098,218.491,88.762,181.500,140,601,148.909,94.256,4.279,1.696,0.505,1.594,148.968,94.129,3.972,139,81,1,19,31,11
2.382,16.277,240,156,47370,197.375,64.416,171.000,140,454,92.429,121.479,4.100,0.831,0.244,0.816,92.332,121.426,3.950,89,119,1,9,7,9
12.785,55.427,1288,575,300011,232.928,97.188,197.000,140,655,104.542,132.593,4.810,1.413,0.245,1.390,104.612,132.611,4.565,96,123,1,18,19,12
