Volume (micron^3),Surface (micron^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (micron),SD dist. to surf. (micron),Median dist. to surf. (micron),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
7.792,51.192,785,444,145516,185.371,49.648,167,140,422,135.901,97.103,5.847,1.336,0.422,1.330,136.089,97.222,5.893,125,91,1,21,13,12
12.041,71.643,1213,682,238942,196.984,67.391,172,140,514,114.367,137.631,4.401,1.726,0.694,1.622,114.621,137.717,4.302,97,129,1,37,18,11
