Volume (micron^3),Surface (micron^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (micron),SD dist. to surf. (micron),Median dist. to surf. (micron),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
14.800,77.525,1491,728,344640,231.147,125.529,176,140,807,134.007,107.989,4.586,1.526,0.343,1.473,134.428,107.883,4.235,123,99,1,21,25,11
15.187,87.675,1530,741,310242,202.773,89.568,166,140,616,104.439,133.039,7.118,1.492,0.283,1.461,104.230,133.209,7.239,94,123,1,22,21,15
