Volume (micron^3),Surface (micron^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (micron),SD dist. to surf. (micron),Median dist. to surf. (micron),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
15.416,69.669,1553,688,345137,222.239,95.073,184,140,656,99.209,107.068,5.115,1.497,0.271,1.473,99.695,106.958,4.853,88,99,1,20,17,12
17.242,71.795,1737,682,380201,218.884,82.034,186,140,517,156.035,118.880,6.549,1.591,0.278,1.604,155.921,118.851,6.568,149,110,1,16,18,15
