 ,Volume (micron^3),Surface (micron^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (micron),SD dist. to surf. (micron),Median dist. to surf. (micron),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
1,1.221,8.901,123,86,113878,925.837,256.327,879.000,606,1762,58.374,83.577,10.171,0.644,0.201,0.626,58.356,83.564,10.214,55,82,7,7,4,7
2,6.700,32.700,675,361,670347,993.107,325.106,909.000,600,2169,115.050,128.684,12.668,1.241,0.421,1.307,115.215,128.587,12.913,109,122,7,16,14,11
3,2.422,14.497,244,139,300708,1232.410,616.171,1028.500,606,3243,142.459,87.230,13.131,0.859,0.271,0.802,142.476,87.187,13.116,139,85,8,8,6,10
4,0.506,5.510,51,41,46263,907.118,271.280,825.000,601,1546,138.765,110.824,14.843,0.503,0.195,0.440,138.790,110.881,14.893,137,109,12,5,4,6
