 ,Volume (micron^3),Surface (micron^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (micron),SD dist. to surf. (micron),Median dist. to surf. (micron),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
1,2.323,13.250,234,137,291397,1245.286,632.132,1002.500,600,3400,118.556,73.534,8.406,0.845,0.280,0.824,118.589,73.553,8.419,116,71,3,6,6,11
2,2.075,12.770,209,127,230810,1104.354,476.992,941.000,601,2565,58.373,152.105,6.866,0.792,0.238,0.740,58.324,152.139,6.870,56,149,3,6,7,9
3,2.124,13.230,214,122,254364,1188.617,556.299,1018.000,603,3036,141.103,152.150,7.393,0.816,0.244,0.803,141.092,152.146,7.374,138,149,3,7,7,9
4,0.536,5.487,54,42,46568,862.370,231.573,822.500,602,1304,99.704,132.500,6.741,0.532,0.198,0.497,99.801,132.504,6.741,98,131,4,4,4,6
5,3.266,17.937,329,178,348674,1059.799,425.085,916.000,600,2471,157.951,130.365,9.137,0.903,0.221,0.941,158.011,130.393,9.149,153,126,5,10,9,9
6,4.467,22.426,450,215,482390,1071.978,430.854,920.500,600,2522,97.280,95.758,10.442,0.981,0.200,0.974,97.211,95.822,10.418,93,91,6,10,10,10
7,1.122,8.484,113,75,115638,1023.345,388.881,892.000,608,2239,168.805,108.885,11.770,0.636,0.199,0.609,168.797,108.883,11.735,167,107,8,5,5,8
8,0.526,5.487,53,42,45201,852.849,181.833,783.000,611,1317,103.377,128.396,11.981,0.499,0.177,0.430,103.307,128.380,11.994,102,127,9,4,4,6
