 ,Volume (micron^3),Surface (micron^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (micron),SD dist. to surf. (micron),Median dist. to surf. (micron),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
1,1.112,8.745,112,74,117583,1049.848,387.439,967.500,600,2271,134.750,96.259,6.705,0.665,0.237,0.617,134.760,96.265,6.662,133,94,3,5,5,8
2,3.951,19.465,398,197,526404,1322.623,671.580,1106.000,602,3283,89.618,114.432,8.590,0.994,0.279,0.962,89.605,114.458,8.557,86,111,3,8,8,11
3,2.273,14.302,229,130,257062,1122.542,508.510,940.000,600,2888,117.821,167.354,8.541,0.833,0.261,0.825,117.882,167.444,8.554,115,163,4,7,8,10
4,2.918,16.882,294,162,388267,1320.636,708.216,1102.500,601,3711,151.051,130.160,11.014,0.913,0.296,0.838,151.075,130.130,11.052,147,128,6,9,6,11
