 ,Volume (micron^3),Surface (micron^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (micron),SD dist. to surf. (micron),Median dist. to surf. (micron),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
1,9.509,39.655,958,448,1050896,1096.969,444.625,946.500,600,2850,118.118,76.046,9.611,1.223,0.304,1.257,118.110,76.136,9.569,111,71,5,17,12,10
2,2.253,13.277,227,136,347719,1531.802,929.736,1230.000,601,4095,161.308,123.868,13.969,0.817,0.232,0.790,161.329,123.928,14.358,158,121,9,7,7,9
3,6.323,25.708,637,308,935235,1468.187,732.579,1268.000,600,3849,126.424,134.991,14.454,1.063,0.142,1.056,126.438,135.330,14.892,121,129,10,12,13,8
