 ,Volume (micron^3),Surface (micron^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (micron),SD dist. to surf. (micron),Median dist. to surf. (micron),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
1,5.569,27.546,561,286,567892,1012.285,366.325,911,600,2534,124.504,88.210,9.021,1.081,0.285,1.072,124.602,88.116,9.021,116,85,5,17,8,9
2,5.102,32.044,514,303,518677,1009.099,382.069,901,600,2645,124.358,148.202,10.607,1.250,0.402,1.295,124.468,148.199,10.660,116,145,6,19,8,10
