 ,Volume (micron^3),Surface (micron^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (micron),SD dist. to surf. (micron),Median dist. to surf. (micron),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
1,8.318,35.001,838,349,1163627,1388.576,748.236,1108.500,601,3802,152.975,106.122,8.181,1.273,0.291,1.334,152.977,106.041,8.167,148,99,3,12,16,11
2,4.407,22.267,444,226,534609,1204.074,562.344,992.500,602,2800,102.998,125.268,10.295,1.009,0.245,1.054,102.983,125.176,10.314,100,119,6,7,14,10
