 ,Volume (micron^3),Surface (micron^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (micron),SD dist. to surf. (micron),Median dist. to surf. (micron),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
1,1.638,10.561,165,101,189728,1149.867,515.475,984,600,2784,124.527,161.055,7.715,0.733,0.231,0.690,124.525,161.032,7.704,122,159,4,6,5,8
2,1.112,8.636,112,74,110934,990.482,389.552,864,600,2155,156.036,182.089,7.920,0.637,0.213,0.633,156.032,182.127,7.925,154,180,4,5,5,8
3,5.479,25.687,552,253,607569,1100.668,486.592,959,600,2987,137.045,104.292,9.417,1.065,0.209,1.079,136.915,104.031,9.361,132,99,5,11,13,10
4,1.300,10.058,131,87,143859,1098.160,468.298,975,605,2366,67.901,100.466,11.275,0.702,0.243,0.630,67.847,100.469,11.361,66,98,7,5,6,9
5,4.258,20.064,429,221,551515,1285.583,582.740,1135,600,3136,107.392,131.422,13.648,0.967,0.205,0.975,107.404,131.416,13.796,104,127,9,8,10,9
