 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,1.981,15023.211,1233.365,12275,16383,29753.544,14437306.000
2,1.981,14565.479,623.998,13255,16383,28847.003,13997425.000
3,1.981,15005.560,1150.668,12575,16383,29718.586,14420343.000
4,1.981,10430.350,529.633,8684,11817,20657.359,10023566.000
5,1.981,8320.712,1162.118,5209,10594,16479.211,7996204.000
6,1.981,9748.821,955.721,7301,11585,19307.588,9368617.000
7,1.981,743.050,61.485,564,955,1471.614,714071.000
